p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
1.29646975256705e-32	3.07068840723578	0.099	0.016	3.40686321579569e-28	telencephalon	gpr37b	5.88235294117647
1.39198990488063e-32	2.47851493694035	0.128	0.027	3.65787107204532e-28	telencephalon	sox1b	4.60714285714286
1.42920591865534e-32	1.07243881978543	0.552	0.318	3.7556673130425e-28	telencephalon	gnao1a	1.73354231974922
3.16484662773601e-32	0.879976843083058	0.787	0.639	8.31658396836469e-28	telencephalon	SSBP4	1.23125
4.12229986589486e-32	1.404785405234	0.434	0.216	1.08325795875985e-27	telencephalon	syne2b	2.00460829493088
1.09581414855574e-31	3.20764697776174	0.112	0.021	2.87958041957477e-27	telencephalon	cdh13	5.13636363636364
1.82147515885974e-31	4.09200141156841	0.07	0.008	4.78647242245163e-27	telencephalon	nrn1a	7.88888888888889
3.72692091688946e-31	1.71421701489129	0.169	0.045	9.79360278540212e-27	telencephalon	lhx5	3.69565217391304
5.07704571773772e-31	-1.18219643296249	0.324	0.597	1.33414607370712e-26	telencephalon	nop56	0.543478260869565
9.15240995285018e-31	2.76126722709349	0.107	0.02	2.40507028740997e-26	telencephalon	taok3a	5.14285714285714
2.12160002257907e-30	1.83585242153012	0.262	0.101	5.57514053933327e-26	telencephalon	chfr	2.57843137254902
2.59234267902348e-30	1.26650777502559	0.386	0.179	6.81215809193791e-26	telencephalon	plekha6	2.15
6.71261607421082e-30	-4.21494541211087	0.017	0.243	1.76394125198112e-25	telencephalon	mab21l2	0.0737704918032787
7.98153146635677e-30	1.68725572242588	0.298	0.124	2.09738683872923e-25	telencephalon	spry2	2.392
9.30143981977878e-30	2.90569371957405	0.13	0.03	2.44423235584147e-25	telencephalon	nol4la	4.2258064516129
2.8359802217043e-29	2.62506248578832	0.14	0.035	7.45238882659455e-25	telencephalon	cxcr4b	3.91666666666667
6.18143177531874e-29	2.02382870270722	0.254	0.099	1.62435664191826e-24	telencephalon	DOCK4	2.55
1.1181572389772e-28	1.05147678963319	0.603	0.397	2.93829359258429e-24	telencephalon	nxn	1.51758793969849
1.1274916064905e-28	-1.51846423405393	0.176	0.436	2.96282244353575e-24	telencephalon	metrn	0.405034324942792
2.21336947193795e-28	1.34285081347173	0.496	0.3	5.81629229835855e-24	telencephalon	FRMD5	1.65116279069767
3.57402873801447e-28	3.659112966722	0.05	0.004	9.39183271775441e-24	telencephalon	BX897729.1	10.2
6.25728461871369e-28	-1.57368067496426	0.157	0.417	1.64428925210558e-23	telencephalon	ptbp1b	0.37799043062201
1.97982500988663e-27	2.44468964194885	0.145	0.039	5.20258416098007e-23	telencephalon	ank3b	3.65
2.05836028640212e-27	2.64385163956092	0.091	0.016	5.4089591606075e-23	telencephalon	unm-sa1261	5.41176470588235
2.9551398740863e-27	1.29731589960704	0.376	0.188	7.76551656112399e-23	telencephalon	efnb2b	1.99470899470899
4.34197757908899e-27	2.34614290379525	0.136	0.035	1.140984868233e-22	telencephalon	neurod4	3.80555555555556
4.91264922359932e-27	0.944041719271443	0.64	0.437	1.29094596297743e-22	telencephalon	sema5ba	1.4634703196347
5.49798757254445e-27	2.14907034721249	0.192	0.064	1.44476117431323e-22	telencephalon	zgc:92140	2.96923076923077
5.90558961736548e-27	2.15191886405226	0.107	0.023	1.5518708396513e-22	telencephalon	GADD45G	4.5
8.52989747964549e-27	1.30851211884006	0.314	0.138	2.24148645970124e-22	telencephalon	hapln1a	2.26618705035971
1.14741833208372e-26	2.52791826276299	0.128	0.032	3.0151858930496e-22	telencephalon	foxo6b	3.90909090909091
1.26153438304581e-26	-1.54366490672876	0.279	0.505	3.31506005176777e-22	telencephalon	epha4b	0.553359683794466
1.58740337259756e-26	-0.695447027684964	0.5	0.753	4.17137858251187e-22	telencephalon	afdna	0.664456233421751
2.30892273907735e-26	-5.39104412685621	0.023	0.225	6.06738717374747e-22	telencephalon	pax7a	0.106194690265487
2.67397410398775e-26	-2.91854700469376	0.048	0.265	7.02666915045901e-22	telencephalon	chl1b	0.184210526315789
3.00779003636631e-26	1.14050631777712	0.273	0.108	7.90387065756339e-22	telencephalon	mecom	2.51376146788991
3.07508663463569e-26	1.28062044307131	0.552	0.361	8.08071265849565e-22	telencephalon	brsk2b	1.52762430939227
3.36395468958934e-26	0.675261447110441	0.63	0.439	8.83980013330287e-22	telencephalon	tcf7l2	1.43409090909091
4.56300013348555e-26	-1.64458029541825	0.231	0.473	1.19906517507733e-21	telencephalon	efna3b	0.489451476793249
5.19184931694339e-26	0.796425190241371	0.746	0.613	1.36431416350638e-21	telencephalon	fam168a	1.21661237785016
5.52755365035938e-26	1.1739496232716	0.543	0.356	1.45253054824144e-21	telencephalon	gpm6bb	1.52380952380952
6.93076287229041e-26	2.40861855502583	0.138	0.037	1.82126586758047e-21	telencephalon	clvs2	3.65789473684211
